Name,Title,Entity,Scope,Jurisdiction,Source
Dr. Oliver Blume,CEO,Volkswagen AG,Group,Germany,VW Annual Report 2025
Ralf Brandstätter,Member of the Board for China,VW AG,Group,Germany,VW Annual Report 2025
Ralf Brandstätter,Chairman & CEO,Volkswagen Group China,China,China (Beijing),VGC Website / Linkedin
Dr. Robert Cisek,Executive Vice President of Volkswagen Group China (VGC),Volkswagen Group China,China,China (Beijing),VGC Website / Linkedin
Dr. Patrick Heinecke,Executive Vice President Finance (CFO) ,"Volkswagen (China) Investment Co., Ltd.",China,China (Beijing),VGC Website / Linkedin
Frank Han,Executive Vice President,Volkswagen Group China,China,China (Beijing),VGC Website / Linkedin
Frank Han,CEO,CARIAD China,China,China (Beijing),VGC Website / Linkedin
Thomas Ulbrich,CTO,Volkswagen Group China,China,China (Beijing),VGC Website / Linkedin
Thomas Ulbrich,CEO,Volkswagen China Technology Company,China,China (Beijing),VGC Website / Linkedin
Dr. Liu Yunfeng,Executive Vice President (Corporate & JV Affairs),Volkswagen Group China,China,China (Beijing),VGC Website / Linkedin
Chen Hong,Chairman,"SAIC-Volkswagen Automotive Co., Ltd.",JV,China (Shanghai),SAIC Motor Annual Report / Linkedin
Tao Hailong,General Manager,"SAIC-Volkswagen Automotive Co., Ltd.",JV,China (Shanghai),Press Release / Linkedin
Michael Mayer ,Managing Director / Executive Vice President,FAW-Volkswagen,JV,China (Changchun),Press Release / Linkedin
Jörg Menges,CEO,Audi FAW NEV Company,JV,China (Changchun),Press Release / Linkedin
Till Scheer,President & CEO,Volkswagen Group Korea,NEA,South Korea (Seoul),Press Release / Linkedin
Martin Saage,CEO,Volkswagen Group Japan,NEA,Japan (Tokyo),Press Release / Linkedin
Rahil Ansari,CEO & Chairman,Volkswagen Group Taiwan,NEA,Taiwan (Taipei),Press Release / Linkedin
Kurt Leitner,Managing Director,Volkswagen Group Singapore,SEA,Singapore,Press Release / Linkedin
Dr. Susanna Lehmann,Managing Director,Volkswagen Group Malaysia,SEA,Malaysia (Kuala Lumpur),Press Release / Linkedin
Li Zhen,Chairman of the Board ,"Gotion High-Tech Co., Ltd.",Associate,China (Hefei),Gotion Website
