Name,Location Type,City,Country,Latitude,Longitude
Volkswagen Group China HQ,Regional HQ,Beijing,China,39.944491,116.454702
"Volkswagen (China) Investment Co.,Ltd.",Regional Holding,Beijing,China,39.970948,116.43505
Volkswagen Group China Technology Company,R&D,Hefei,China,31.706259,117.231585
CARIAD Tech China Office,R&D,Beijing,China,39.9678,116.4431
SAIC-VW Anting Plant,Plant,Shanghai,China,31.2961,121.1685
SAIC-VW Yizheng Plant,Plant,Yizheng,China,32.295278,119.212778
SAIC-VW Nanjing Plant,Plant (Closing),Nanjing,China,31.953107,118.796636
SAIC-VW Changsha Plant,Plant,Changsha,China,28.177303,113.18348
SAIC-VW Ningbo Plant,Plant,Ningbo,China,30.341071,121.324994
SAIC-VW Urumqi Plant,Sold/Exiting,Urumqi,China,43.831111,87.441111
FAW-VW Changchun Plants,Plant,Changchun,China,43.842778,125.196667
FAW-VW Chengdu Plant,Plant,Chengdu,China,30.632222,104.086389
FAW-VW Foshan Plant,Plant,Foshan,China,23.188108,112.994457
FAW-VW Qingdao Plant,Plant,Qingdao,China,36.482119,120.473411
FAW-VW Tianjin Plant,Plant,Tianjin,China,39.0664,117.6835
Volkswagen Anhui Plant,Plant,Hefei,China,31.706389,117.231111
Audi FAW NEV Plant,Plant,Changchun,China,43.8341,125.1384
Gotion High-Tech HQ,Associate,Hefei,China,31.908157,117.376045
Sinotruk HQ,Associate,Hong Kong,Hong Kong,22.2882,114.1518
Volkswagen Group Japan KK,Regional Office,Toyohashi,Japan,34.704928,137.317054
"Volkswagen Group Korea Co., Ltd.",Regional Office,Seoul,South Korea,37.5684,126.9818
Volkswagen Group Singapore Pte Ltd,Regional Holding,Singapore,Singapore,1.291392,103.811754
Volkswagen Group Malaysia Sdn. Bhd.,Regional Office,Kuala Lumpur,Malaysia,3.127094,101.678116
Volkswagen Group Regional Parts Distribution Centre,Logistics Hub,Gelang Patah,Malaysia,1.365,103.5461
"Volkswagen Group Taiwan Co., Ltd.",Regional Office,Taipei,Taiwan,25.058591,121.617857
